RF_Model,Train_AUC,Valid_AUC,Train_AC,Valid_AC,Train_Precision,Valid_Precision,Train_Recall,Valid_Recall
fold1,0.96,0.91,0.87,0.83,0.86,0.84,0.91,0.87
fold2,0.96,0.95,0.87,0.88,0.86,0.86,0.91,0.93
fold3,0.96,0.95,0.87,0.9,0.86,0.92,0.91,0.89
fold4,0.96,0.95,0.87,0.91,0.86,0.9,0.91,0.92
fold5,0.96,0.95,0.87,0.89,0.86,0.9,0.91,0.89
ave.,0.96,0.94,0.87,0.88,0.86,0.89,0.91,0.9
RF_Model,null_Train_AUC,null_Valid_AUC,null_Train_AC,null_Valid_AC,null_Train_Precision,null_Valid_Precision,null_Train_Recall,null_Valid_Recall
fold1,0.5,0.49,0.48,0.5,0.54,0.57,0.46,0.46
fold2,0.51,0.51,0.52,0.49,0.55,0.55,0.51,0.53
fold3,0.49,0.45,0.52,0.5,0.56,0.56,0.52,0.52
fold4,0.52,0.51,0.51,0.49,0.56,0.5,0.5,0.47
fold5,0.46,0.43,0.49,0.49,0.54,0.52,0.5,0.49
ave.,0.5,0.48,0.5,0.49,0.55,0.54,0.5,0.49
