C,Accuracy,Kappa,AccuracySD,KappaSD
0,NA,NA,NA,NA
0.5,0.462751991211206,-0.0428964776648841,0.0415379567359978,0.0605693214825135
1,0.462741005218347,-0.0476361578611576,0.0482703198830501,0.0804941708526561
1.5,0.464553694040099,-0.0454065471540068,0.0518751318249536,0.0878470045530787
2,0.471200219719857,-0.0342881449106259,0.0596102336501871,0.103299663259896
2.5,0.476041380573103,-0.0263057216809206,0.057955627824129,0.0997011173730944
3,0.475442643962281,-0.0301364041402084,0.055961823117596,0.0979453773926086
3.5,0.472416002929598,-0.0362911621909909,0.0574740030446669,0.0999606271220324
4,0.473022063535659,-0.0360896407346667,0.0572940865450911,0.100175770996094
4.5,0.476654765174403,-0.0291894561869645,0.0552900871720636,0.0963649536301029
5,0.476654765174403,-0.0294053263775675,0.0552900871720636,0.0964954167433344
5.5,0.479080838597455,-0.0251820128013026,0.0518939594691273,0.0913019018080223
6,0.477266318776893,-0.0292790590035887,0.0538836338005998,0.0955874277903668
6.5,0.477872379382953,-0.0283953461293817,0.0540473193876829,0.0959601760643693
7,0.479082669596265,-0.0264320965762736,0.0527446779499983,0.0932252538965759
7.5,0.48331593884464,-0.0189173787396913,0.0518964295437539,0.0929201543885103
8,0.487551039091825,-0.0107136095317481,0.0503804102968491,0.0904867833505471
8.5,0.488158930696695,-0.00984136489141177,0.0485227417658221,0.0868854777178589
9,0.488764991302756,-0.0087866323633725,0.0481585756965869,0.0867160825241342
9.5,0.491789801336629,-0.00321007069773406,0.0461172856402606,0.0837359972903703
10,0.491187402728188,-0.00455286594961791,0.0459513222006407,0.0840799298664834
