sigma,C,Accuracy,Kappa,AccuracySD,KappaSD
0.000301330206914881,0.25,0.543253684885105,0,0.000757173909944873,0
0.000301330206914881,0.5,0.543253684885105,0,0.000757173909944873,0
0.000301330206914881,1,0.543859745491165,0.00234840272948456,0.00239098229775278,0.00543251876444563
0.000301330206914881,2,0.476740822118466,0.00458250949430807,0.0384168649356026,0.00283702017992338
0.000301330206914881,4,0.476134761512405,0.00450763117158249,0.0387574337014662,0.00297732419114975
0.000301330206914881,8,0.476134761512405,0.00450763117158249,0.0387574337014662,0.00297732419114975
0.000301330206914881,16,0.476134761512405,0.00450763117158249,0.0387574337014662,0.00297732419114975
0.000301330206914881,32,0.476134761512405,0.00450763117158249,0.0387574337014662,0.00297732419114975
0.000301330206914881,64,0.476134761512405,0.00450763117158249,0.0387574337014662,0.00297732419114975
0.000301330206914881,128,0.476134761512405,0.00450763117158249,0.0387574337014662,0.00297732419114975
