kernel,cost,error,dispersion
linear,0.2,0.456744484116085,0.0313317432561546
polynomial,0.2,0.456744484116085,0.0313317432561546
radial,0.2,0.456744484116085,0.0313317432561546
sigmoid,0.2,0.456744484116085,0.0313317432561546
linear,0.4,0.456140254508835,0.0301880347577205
polynomial,0.4,0.456744484116085,0.0313317432561546
radial,0.4,0.456744484116085,0.0313317432561546
sigmoid,0.4,0.456744484116085,0.0313317432561546
linear,0.6,0.459176050535567,0.0265376641718794
polynomial,0.6,0.456744484116085,0.0313317432561546
radial,0.6,0.456744484116085,0.0313317432561546
sigmoid,0.6,0.456744484116085,0.0313317432561546
linear,0.8,0.457960267325826,0.0260840947299181
polynomial,0.8,0.456744484116085,0.0313317432561546
radial,0.8,0.456744484116085,0.0313317432561546
sigmoid,0.8,0.456744484116085,0.0313317432561546
linear,1,0.455537855900394,0.02926763296483
polynomial,1,0.456744484116085,0.0313317432561546
radial,1,0.456744484116085,0.0313317432561546
sigmoid,1,0.456744484116085,0.0313317432561546
linear,5,0.455537855900394,0.02926763296483
polynomial,5,0.456744484116085,0.0313317432561546
radial,5,0.456744484116085,0.0313317432561546
sigmoid,5,0.456744484116085,0.0313317432561546
linear,10,0.455537855900394,0.02926763296483
polynomial,10,0.456744484116085,0.0313317432561546
radial,10,0.456744484116085,0.0313317432561546
sigmoid,10,0.456744484116085,0.0313317432561546
linear,100,0.455537855900394,0.02926763296483
polynomial,100,0.456744484116085,0.0313317432561546
radial,100,0.456744484116085,0.0313317432561546
sigmoid,100,0.456744484116085,0.0313317432561546
